Part Name,Part Density(g/cm(Cube)),Tensile Strength(Mpa),Stiffness(Gpa),Thermal Conductivity(Watt Per Meter Kelvin),Cost(RS),Stress Requirement(Mpa),Operating Temperature(Degree centigrade),Suggested Material
Hydraulic Brakes,2.211600868,752.5034535,140.3298857,181.3956932,4030.49536,301.7015001,121.7554203,Titanium
Valves,3.422261939,334.3340925,109.1209719,175.453835,5659.635012,155.9392263,470.2130273,Titanium
Drum Brakes,6.891481762,402.2539534,1.046195568,86.9129148,4566.136548,385.4180593,713.3062004,Titanium
Gear,6.491879566,760.6768369,173.335594,82.41752614,2667.081249,248.8140439,795.7575216,Stainless Steel
Disc Clutches,1.765347848,582.2719341,155.2101029,133.4191391,1879.69262,34.72140874,147.4827565,Aluminum Alloy
Flywheel,6.936247273,887.8526223,100.1025979,137.5103307,3366.127295,959.0464936,727.0641461,High-speed Steel
Regenerative Brakes,3.332511991,995.3063652,34.92996919,199.3773529,791.4684407,586.9269271,298.7505205,Medium Carbon Steel
Fuel Pumps,3.493224367,112.3687178,116.3954748,193.7446563,701.3392732,882.0249591,780.3961433,Letnol
Pneumatic Brakes,6.883584045,337.419864,172.3709691,145.6517533,1058.696617,444.9741026,109.2062107,Aluminimum
Crankshaft,4.227909578,1228.433704,69.35249802,77.61858297,1654.622692,640.2289801,230.1308463,High Carbon Steel
Positive Displacement Pumps,2.281180475,281.7067171,33.68617234,105.7013097,4404.967818,730.0300418,261.098978,Titanium
Piston,2.407097724,499.4844814,66.68992758,5.921725036,1067.560928,857.9262135,164.539952,Medium Carbon Steel
Crankshaft,1.732274829,1323.292936,203.4757134,15.26849116,2101.648258,605.7767025,521.4488252,High-strength Steel
Turbine,1.704191443,604.7547885,131.4009302,92.86431968,5824.811173,56.23081467,688.4447426,Carbon Fiber
Pneumatic Brakes,4.368720872,679.8741352,168.7901618,143.1153132,2636.633745,520.7160215,71.63922115,Stainless Steel
Pistons,1.972913739,1015.939603,119.6656007,190.0854856,2231.737436,694.0202224,211.1032924,High-strength Steel
Centrifugal Clutches,3.785453515,1464.003354,24.06019796,168.7673481,2208.101306,663.6786897,458.0924896,High-strength Steel
Flywheel,1.811610915,1214.844545,123.2181556,108.3398883,3174.479415,992.9892864,579.7373735,High-speed Steel
Ball Bearing,7.285239483,99.80520578,111.3546071,108.45824,5348.589273,609.0899467,490.0192924,Titanium
Oil Pumps,4.835546546,60.54792628,18.96168631,29.77018772,5013.796037,420.1025143,652.2282494,Titanium
Hydraulic Clutches,5.887689476,862.2819618,188.6597115,161.4650009,4840.430897,620.8349492,230.2964166,Titanium
Bevel Gears,2.547573219,1315.970469,86.43650273,125.5237233,3078.863041,192.7513799,251.7785448,High-speed Steel
Cam,1.384540524,1385.933872,23.55633875,100.9266694,1032.499746,689.6938443,261.7241402,High Carbon Steel
Wheel,2.548869669,268.4103208,131.0939775,131.1706551,5867.648778,101.3343746,385.1984339,Carbon Fiber
Crankshafts,1.975358722,1170.778276,17.74347964,17.80412432,2465.050218,622.4664211,553.1526567,Stainless Steel
Cone Clutches,4.649990718,465.0147369,189.0916071,22.60063853,5567.430118,950.3982419,457.979612,Titanium
Worm Gears,3.741661205,1421.373342,3.170089016,76.63131772,3685.246656,792.9411491,519.5965172,High-speed Steel
Water Pumps,2.593183003,1168.032477,170.9859214,114.0911287,5980.982479,777.0339091,339.8043339,Carbon Fiber
Casing,6.115985119,677.685588,4.768593272,21.84238583,865.9523329,770.3530357,284.9870308,Medium Carbon Steel
Rack and Pinion Gears,6.651818983,841.7826262,150.1437637,185.0983394,906.8877308,635.5718853,277.980955,Medium Carbon Steel
Timing Gears,5.058966884,531.0591665,184.9638886,177.056154,3131.218894,511.2532022,525.6308676,Stainless Steel
Pistons,4.996990735,184.4674897,183.1155849,121.0499417,3300.090708,953.4269523,63.8753539,Stainless Steel
Regenerative Brakes,5.617018413,107.6005642,36.5401093,123.8283429,3807.488468,877.6467707,311.7701235,High-speed Steel
Timing Chains,1.008142339,1475.058883,209.2342717,105.0130951,5808.484407,863.9575952,130.1273295,Carbon Fiber
Flywheel,2.819575501,583.5619152,149.7376727,147.6645519,4848.48475,222.9488383,789.2068417,Titanium
Intake Manifolds,5.607087082,764.429229,103.9533058,34.62985633,4797.272907,700.7450613,270.5165821,Titanium
Peristaltic Pumps,7.033051453,1238.407414,46.20240639,0.502207848,547.883837,693.2436563,544.6793103,Medium Carbon Steel
Flywheel,1.235688311,1072.001579,110.3673828,97.29604273,1347.773826,330.0609051,594.3751626,Medium Carbon Steel
Positive Displacement Pumps,3.936165875,249.5220934,203.6275257,47.93585706,2379.837426,934.0072622,620.8699484,Stainless Steel
Engine Blocks,1.48791085,618.2868958,8.601175653,12.63744012,4043.036682,373.5739624,533.0355917,Titanium
Fuel Pumps,7.355451769,598.9474948,69.27047338,94.64884501,846.417321,285.3506244,71.45040164,Letnol
Timing Gears,3.936791993,84.84206151,130.5160272,30.53816135,5717.362755,499.2289687,116.1607628,Carbon Fiber
Casing,7.063238818,849.0442743,122.8344823,41.54944957,2456.626481,629.0075654,533.566149,Stainless Steel
Camshafts,5.478717044,471.6979769,207.5464872,117.6606464,3499.5513,518.2481937,759.7516,High-speed Steel
Positive Displacement Pumps,3.125682262,190.8636078,56.21829873,73.25682366,1719.288834,192.4309092,407.0998571,Mild Steel
Vane Pumps,7.426147048,392.4151723,69.33209772,20.4010643,1689.477612,134.9147771,626.4967663,Mild Steel
Turbine,5.171640416,635.5985482,205.1168552,27.18156622,3058.300759,390.0510942,426.4925244,Stainless Steel
Ball Bearing,4.80243145,347.3916359,118.1309847,78.66447385,1308.143395,611.1022998,198.339274,Aluminum Alloy
Multi-plate Clutches,5.18735189,1019.070506,185.8100835,181.928397,5852.44988,842.7985487,473.1831682,Carbon Fiber
Centrifugal Pumps,1.169465509,318.8653507,137.3162097,168.9093531,5950.851585,304.3483622,621.9687738,Carbon Fiber
Timing Belts,6.596886657,65.51036811,160.4866547,99.88606072,2335.665289,995.5714407,73.89946812,Stainless Steel
Double Wishbone Linkages,2.916601794,305.831193,52.30827303,116.7930264,3262.497053,176.0172801,244.4719319,Stainless Steel
Worm Gears,6.354912286,114.5937443,208.072152,157.261532,711.6721372,580.8848692,618.5841603,Letnol
Turbine,3.052358208,1275.163873,113.1412284,10.42934424,5885.256148,645.4364335,518.7022757,Carbon Fiber
Cam,4.20918534,1220.38297,59.02074695,169.6091831,3341.612303,849.1398617,408.1435513,High-speed Steel
Valve,5.649603525,612.6539243,120.083022,173.6529366,3006.288537,292.8919074,612.7355022,Stainless Steel
Housing,3.994572081,51.73230697,41.49219507,163.0346105,5872.960096,601.2521539,518.1610585,Carbon Fiber
Spur Gears,6.444248739,1325.636138,110.6383974,14.36630026,1813.675189,186.0423644,114.3393347,High-strength Steel
Four Bar Linkages,6.166787577,225.4692914,163.0790489,32.3973619,531.4525146,726.266012,99.62169419,Letnol
Gear Pumps,6.977127752,474.4531457,54.57101448,45.68317223,3833.868632,97.75679461,731.7376826,High-speed Steel
Gear,5.269482227,803.9841505,49.05215474,19.51382848,1083.465102,524.6606784,533.1211255,Medium Carbon Steel
Gear,2.81150662,1092.142396,195.6074155,31.38968794,4273.366515,640.5320758,174.8706012,Titanium
Multi-plate Clutches,5.911877417,153.5468967,123.154914,136.569256,2312.823927,967.6183915,642.0656234,Stainless Steel
Intake Manifolds,6.686830445,882.3946804,127.8310903,111.2928829,1895.415005,95.28476995,123.573335,Aluminum Alloy
Shaft,3.46589285,1377.747923,44.18906877,151.5366286,556.9396154,305.3935191,153.5169198,Letnol
O-rings,2.077305911,1314.735881,150.5630222,183.499239,3177.400003,873.0258291,288.3995871,High-speed Steel
Gear Wheels,3.117100806,265.51626,52.97178705,175.2384749,3065.850521,25.23973276,235.6674654,Stainless Steel
Multi-plate Clutches,6.035462237,441.0252268,39.54784676,144.4713585,1878.435157,233.2231904,260.6479457,Aluminum Alloy
Disc,5.895734054,1374.28947,10.72804789,121.2282925,2203.59501,475.458279,697.268286,High-strength Steel
Rack and Pinion Gears,7.59694039,1200.025983,98.13423295,82.28689971,3002.444493,141.9751727,669.487253,Stainless Steel
Connecting Rods,2.522816652,29.62884439,47.64149368,0.788233484,3419.687487,320.1255669,481.168764,Stainless Steel
Timing Gears,3.575594802,164.047012,131.2049091,142.9251554,994.5849529,618.8486872,436.3254633,Low Carbon Steel
Connecting Rods,4.420503101,615.6701977,45.49074093,2.065451074,5690.465517,705.0399709,247.3222067,Carbon Fiber
Hydraulic Clutches,3.885124655,1426.199137,192.7472704,48.88232062,3896.709054,428.6338634,64.12535148,High-speed Steel
Bell Crank Linkages,4.177710117,344.326487,102.7311977,166.3860133,438.1807416,172.7584902,91.01380459,Plastic
Gear,6.886206079,407.1013814,27.39811218,117.481722,5787.819462,29.69831633,761.0407094,Titanium
Centrifugal Clutches,4.698257827,129.0703964,93.13751072,35.55160645,2283.525276,204.5465981,163.7731031,Aluminum Alloy
Parking Brakes,6.321544474,587.1463333,60.07667729,163.053569,3948.579052,681.8707316,146.8147921,Titanium
Fuel Injectors,4.693512878,1056.961932,82.42361091,52.19971034,2884.736777,947.1564664,346.3871758,High-speed Steel
Cone Clutches,1.598204733,587.0288744,28.30190935,165.6855299,1324.399972,271.7962554,520.7521536,Brass
Bevel Gears,1.488321766,1459.298952,122.7957153,53.18488659,3422.255236,269.9274078,472.3791898,High-speed Steel
Exhaust Manifolds,6.075589841,335.0708585,31.38021464,179.9409011,2878.19443,492.0234454,396.0626324,Stainless Steel
Cylinder Heads,4.249360246,729.8792481,4.287433187,99.69864822,887.1210875,689.7027633,487.3562277,Medium Carbon Steel
Crankshafts,5.539591774,909.9727608,177.5298312,85.69137616,4234.213373,512.0635585,297.3143154,Titanium
Four Bar Linkages,7.597748802,1385.196833,63.40865985,32.92844261,3422.839939,898.1360208,451.4769819,High-speed Steel
Ball Bearing,1.445867563,176.1268883,157.3003487,127.0763085,5326.486164,411.4832075,665.5294738,Titanium
Rocker Arms,6.035020953,663.8586934,4.549256216,51.41430207,3879.661897,386.8446875,55.41720037,High-speed Steel
Diaphragm Pumps,4.545312077,561.4706132,74.97994022,14.75233725,3673.390257,135.8660239,448.6899617,High-speed Steel
Fuel Pumps,2.365503709,289.5679134,50.88173253,35.46952455,4875.242658,801.5496068,715.3605853,Titanium
Engine Blocks,4.128006319,866.1042578,155.9341888,7.750959948,601.3548067,888.0542412,271.8583356,Medium Carbon Steel
Oil Pumps,5.901370047,322.8908358,91.02772002,124.6557482,2775.27501,35.94193967,539.8451353,Stainless Steel
Housing,4.630674584,665.1813763,51.85599175,88.03846711,3486.797043,274.1986626,621.4682574,High-speed Steel
Disc,5.886318858,1096.244379,60.72487212,10.78371889,2642.643309,134.2563684,504.5002684,Stainless Steel
Engine Blocks,5.416101214,204.6747023,206.3211562,119.5597339,5664.349694,223.0125766,332.4119981,Titanium
Housing,7.948968359,180.2221561,168.9622194,62.51947705,659.5452004,640.953623,146.8842298,Letnol
Valves,3.044486377,1281.38101,14.93379851,51.67184762,5750.191991,313.9767204,577.2873542,Carbon Fiber
Pneumatic Brakes,4.204182077,1125.384339,99.29158662,7.558122418,5812.222196,84.60124277,467.4097941,Carbon Fiber
Vane Pumps,3.382158748,1197.577509,82.13944566,170.1531808,4658.419958,766.5975691,126.4984091,Titanium
Gear Pumps,7.99025456,46.91312948,126.1892738,187.5750738,2862.721204,119.3594693,470.3014283,Stainless Steel
Bearing,2.327903326,261.1860862,138.0664091,42.66892015,2350.098347,534.0820917,183.2925532,Stainless Steel
Coupling,5.499980854,1078.681918,97.15780299,140.7086526,4357.822885,720.1240725,581.9185485,Titanium
Timing Belts,2.570736368,1026.439317,120.7650281,104.9313865,5597.249647,200.3324611,405.7439709,Carbon Fiber
Crankshafts,6.313439134,303.6028225,187.8102827,9.252395879,1385.023608,496.3054984,542.9825686,Low Carbon Steel
O-rings,5.817231489,913.9504187,50.69072223,90.84021854,1837.925532,798.9071359,437.3161606,High-strength Steel
Oil Pumps,4.544185677,810.1308863,134.5975224,161.0575073,5268.725777,63.14843715,630.2909402,Titanium
Valve,1.13131897,561.3119681,188.1672516,30.58960561,2645.090075,464.2422572,227.8126221,Stainless Steel
Water Pumps,4.873663784,1155.580731,152.9439623,97.90262118,3773.671471,720.8809033,51.46577819,High-speed Steel
Ball Bearing,6.142439018,734.8162861,139.1445934,13.81984784,2528.7888,899.736946,711.079405,Stainless Steel
Helical Gears,1.55167028,951.0022869,202.3843314,134.0137367,4403.216642,900.010563,260.2999624,Titanium
Shaft Seals,7.974712012,584.7876094,13.61724024,196.8889843,3714.962487,749.4594123,630.3780563,High-speed Steel
Four Bar Linkages,1.482242637,1056.129646,92.88751507,168.5778144,431.9110577,804.6697656,626.9122503,Letnol
Spring,6.720725735,1420.3724,137.2884508,188.8077558,1779.009126,277.5639521,214.2541726,High-strength Steel
Wheel,1.935193427,454.2035322,200.2191003,51.4299348,5234.331789,768.0353024,58.64280482,Titanium
Regenerative Brakes,2.718769524,952.9072374,23.12762266,121.5640763,1206.940103,427.2793572,591.0943608,Medium Carbon Steel
Planetary Gears,6.621063333,501.8526708,165.7558967,88.61688034,5355.294439,443.0683739,98.24619617,Titanium
Water Pumps,3.568610382,976.7153499,130.135685,180.8162325,2039.251352,567.0463452,439.108429,High-strength Steel
Bearing,7.832809598,1042.929852,189.9132033,109.3361682,490.2631634,155.4140469,716.9768377,Letnol
Pistons,1.32181785,1496.23413,86.34948077,40.93117032,2380.853468,544.5284483,177.5092918,High-strength Steel
Multi-plate Clutches,6.667134703,122.1908152,45.92315277,120.0871916,1533.582372,876.9019261,551.407316,Brass
Positive Displacement Pumps,7.082616982,1418.419632,205.2522596,170.3963911,5438.717816,273.5720125,314.7576138,Carbon Fiber
Engine Blocks,6.491338258,620.2930873,110.2250605,96.54139235,5593.230992,979.6726299,74.27539711,Carbon Fiber
Drum Brakes,6.006289415,154.7445136,116.5253383,42.75073274,4523.183726,654.2822464,543.5931248,Titanium
Vane Pumps,6.248035197,281.5129864,93.96256245,182.6341114,2587.510768,278.2316328,783.7443078,Stainless Steel
Helical Gears,4.474587412,49.62194742,17.86010305,155.4380526,4388.253664,602.9238853,658.3685344,Titanium
Exhaust Manifolds,4.256435461,725.032065,27.38756455,71.4847807,3273.0846,325.0665408,638.388524,Stainless Steel
Electromagnetic Clutches,4.890637041,1395.901871,53.08185666,169.2704576,5502.839318,809.5453036,302.005093,Carbon Fiber
Rocker Arms,2.510577386,478.8147524,130.5308361,27.47819739,3586.585382,337.6032343,175.1774506,Stainless Steel
Housing,1.067841835,1372.599586,146.0996204,50.46312802,3803.309717,977.4210186,590.3436232,High-speed Steel
Camshafts,3.69817004,381.9589717,43.44088938,164.2419849,4135.150456,999.2783671,149.0677488,Titanium
Coupling,7.969708796,232.2330598,57.45212091,38.08596472,554.4537497,482.8570394,650.1652765,Letnol
Turbine Blade,2.923553716,1302.861261,84.25151132,41.20528899,5039.517585,283.6308649,298.2602256,Titanium
Bell Crank Linkages,3.799795062,1271.812581,205.3942976,142.4874171,905.3561442,167.2679599,718.7155867,Medium Carbon Steel
Rack and Pinion Gears,1.568254365,745.6123498,83.89957857,64.64708986,3800.667798,778.9545684,203.8083997,High-speed Steel
Flywheel,2.533920504,667.7476668,155.0418022,78.02456656,3925.606398,298.8930195,449.3708662,Titanium
Pistons,2.552021867,1430.994607,7.865246782,80.09467944,1242.791288,142.0740089,488.6883321,High Carbon Steel
Lip Seals,1.877100958,1275.431319,148.7692634,121.1059927,5632.742349,452.6466816,275.3056111,Carbon Fiber
Camshafts,3.515882822,1021.048486,142.1258059,67.25510837,3478.078374,190.6416238,331.5364736,High-speed Steel
Flywheel,7.857818733,684.1994106,118.7793453,176.3456797,4640.154815,827.3775155,537.851609,Titanium
Cam,1.273131474,322.9960026,12.1071832,92.34055894,5851.425974,660.4173034,62.07419068,Carbon Fiber
Gear Wheels,6.144716454,451.0135003,130.5284063,12.06747505,1672.706347,379.3021088,749.5811001,Brass
Positive Displacement Pumps,3.808462287,1046.968099,150.8440467,132.4458242,1936.178186,551.4066288,608.9170832,High-strength Steel
Worm Gears,6.988217791,1125.418787,144.5003581,83.22060712,2522.073603,31.47744362,210.2110323,Stainless Steel
Sealing Washers,5.352735196,389.3358216,108.5579949,87.6587166,3859.502138,912.1492726,374.505866,High-speed Steel
Planetary Gears,3.552525788,676.7960298,113.7813435,196.9191818,1868.381491,75.95319964,771.3480956,Brass
Spring,4.373978704,33.94380746,52.34132954,136.5470736,690.674059,860.8163531,603.0610748,Letnol
Gear Pumps,4.947569047,357.1854193,2.600001852,98.26920906,4602.300032,601.1840233,407.6159004,Titanium
Planetary Gears,3.89786019,138.8956448,95.92804003,28.68915842,1088.20023,547.1934276,200.088019,Grey Cast Iron
Rocker Arms,3.119753424,420.7024961,165.144549,181.0964781,1991.680513,903.7201168,138.987797,High-strength Steel
Crank Linkage Systems,5.078765783,1130.058267,145.5627927,57.88304646,481.041336,486.0413279,212.1096904,Letnol
Cylinder Heads,4.118760622,747.9297998,47.51659764,38.82222097,1102.071668,713.9943943,85.04285917,Medium Carbon Steel
Valves,2.471283262,827.0361452,41.83657711,47.02622037,2646.476344,338.2436048,157.8944831,Stainless Steel
Cone Clutches,2.883512436,778.2675224,187.2006499,169.5244497,980.3588893,821.767973,153.0395417,Medium Carbon Steel
Drum Brakes,7.692948045,794.2644837,47.10477066,23.26521161,2986.658857,889.0088142,466.5395723,High-speed Steel
Four Bar Linkages,5.525152643,453.9536948,50.48088073,183.7164532,5460.759815,499.6495258,745.5759895,Titanium
Cone Clutches,5.772392982,412.2190443,141.6187826,13.78879319,2333.747219,674.6314601,646.2245337,Stainless Steel
Ball Bearing,5.974251164,1027.889114,21.28006058,117.2917399,3956.251438,704.7679009,597.7888424,High-speed Steel
Rack and Pinion Gears,2.652682503,1407.792177,147.5586824,101.8111504,2656.711528,528.541194,462.3325169,High-speed Steel
Gear Pumps,6.186768985,1202.35383,100.7491601,116.4442021,3546.112254,883.5749978,607.0441136,High-speed Steel
Helical Gears,3.301530883,422.2192538,164.1288808,183.6883314,1400.1024,515.6502593,635.6164407,Brass
Worm Gears,6.057571241,341.5656362,197.0075607,161.6127056,816.368156,156.2782351,126.5475638,Letnol
Diaphragm Pumps,4.285162572,304.0045926,57.91604626,155.6913046,5181.537407,715.3367758,701.8815929,Titanium
Bell Crank Linkages,5.536411526,24.99942751,111.8432586,26.49844439,3991.679228,200.9304396,562.8494607,Titanium
Timing Chains,4.244285012,529.1439271,46.62811357,121.3279816,2567.390273,16.34802365,738.5713161,Stainless Steel
Sealing Washers,3.965694933,845.3683282,173.5626789,125.2784301,1620.526136,741.8918808,690.5559566,High Carbon Steel
Engine Blocks,1.812383531,155.944152,186.5239455,54.03221679,2967.660436,455.7685311,395.8762289,Stainless Steel
Disc Clutches,2.486444677,1197.598182,128.398631,24.05856059,2359.962219,371.6372037,773.2698249,Stainless Steel
Peristaltic Pumps,7.326517267,1272.935216,197.0502165,72.55569986,1074.843769,479.354644,435.9937465,High Carbon Steel
Cam,2.137672346,1456.666301,140.1808301,81.0057147,2369.14583,304.2274986,507.0818031,Stainless Steel
Drum Brakes,1.715209551,177.4043206,188.0684625,36.88511325,1510.613665,234.7575233,368.8697581,Mild Steel
Spark Plugs,5.026019152,447.5349799,8.656880785,172.115414,2512.353944,746.828287,604.00896,Stainless Steel
Peristaltic Pumps,7.560124469,1309.011708,71.70309432,199.9322787,5195.759887,645.5250517,261.4353572,Titanium
Electromagnetic Clutches,2.840496675,1471.421061,203.9238039,82.11487813,3048.29922,477.3064178,632.7590251,High-speed Steel
Timing Chains,1.912892499,236.6578411,88.6371146,109.9982326,2992.594694,696.944213,445.8100105,Stainless Steel
Gear Wheels,2.925401768,477.1921636,61.5730473,190.915826,2464.249792,601.6240809,603.5356603,Stainless Steel
Gaskets,5.989833227,548.7205184,113.4125925,167.7972852,3634.641125,933.4526325,338.7819082,High-speed Steel
Ball Bearing,3.977081694,506.2211182,173.1536964,76.79729499,2588.174307,247.0066147,471.3294576,Stainless Steel
Shaft Seals,4.281601559,1222.116698,112.2805937,98.18143845,1922.189467,358.8203383,494.58098,High-strength Steel
Pneumatic Brakes,7.957483935,570.9568273,86.06638701,61.03541575,5051.512358,437.7780756,337.6515786,Titanium
Positive Displacement Pumps,2.718282085,1031.677584,184.8497308,145.4456434,4019.801351,939.2532687,129.966027,Titanium
Oil Pumps,2.07365598,663.0659522,127.876706,148.1904535,3101.940655,794.5899674,284.6491811,High-speed Steel
Centrifugal Pumps,6.587972439,684.4206411,67.78053811,34.01317722,5812.396124,494.6933164,687.271108,Carbon Fiber
O-rings,1.184470038,394.7161814,44.45474022,106.7485162,987.7659266,638.0303672,339.3726367,Letnol
Pneumatic Brakes,1.286783213,670.7102861,58.96833148,10.34643247,4513.185289,522.639939,456.5900694,Titanium
Rocker Arms,5.651299114,317.3116774,93.19569421,41.14895212,2432.539305,101.6091159,779.3522447,Stainless Steel
Ball Bearing,4.706060754,1444.487934,179.1633656,131.5758956,4540.212317,990.2502309,211.5667339,Titanium
Turbine,6.216461563,555.9034285,9.448407131,185.46535,4293.352528,463.255285,253.5134071,Titanium
Timing Belts,4.372633146,1306.400006,41.23791384,25.08695276,2871.995987,989.9982804,264.8997116,High-speed Steel
Turbine,2.271934221,694.9736884,181.5936454,74.16790924,2283.32603,118.5300641,106.8684343,Stainless Steel
Multi-plate Clutches,5.935903464,507.7728705,21.84042938,86.94392396,1389.025077,606.444979,81.82589094,Aluminum Alloy
Electromagnetic Clutches,6.533253624,1064.52651,157.4299537,130.0865986,5244.73403,368.8605648,322.3648326,Titanium
Cam,4.172640055,68.83354415,116.9030404,29.38941531,3968.241589,672.1550994,531.2479318,Titanium
Bearing,6.396338994,780.7261758,87.04641141,148.9530537,5538.788762,860.3816765,745.430691,Titanium
Crankshafts,6.159448939,703.8866006,140.5746633,60.59696102,559.4265303,787.520418,551.4991067,Letnol
Casing,7.264419272,1316.046324,207.9618959,112.6061682,2309.329695,615.8421447,622.7240888,High-strength Steel
Timing Gears,2.79730896,550.1167089,153.0410408,52.72968403,539.5446221,804.9197996,736.4989408,Letnol
Cylinder Heads,7.146466206,1446.333223,31.50548602,190.3348713,1804.034223,954.2557822,746.0113126,High Carbon Steel
Cam,4.077320076,676.3278937,185.8439974,131.5352502,4808.86187,733.9234116,309.5947173,Titanium
Drum Brakes,6.667836831,494.5848604,3.840275213,198.2461919,3806.050555,92.68959448,397.2005223,High-speed Steel
Crank Linkage Systems,7.808723225,387.1061507,3.257280721,44.02938429,4039.191527,288.0029931,222.4763923,Titanium
Double Wishbone Linkages,3.849430078,1066.363232,46.39236408,64.48980801,819.3301441,761.882068,301.8035818,Medium Carbon Steel
Electromagnetic Clutches,3.091186159,150.8017574,166.7872109,179.1240043,1364.819884,315.0239882,680.4283681,Mild Steel
Piston,3.972449186,570.1481644,91.64333669,86.21825918,2359.568819,616.7776011,107.0560602,Stainless Steel
Crank Linkage Systems,1.603209471,1419.098739,12.94354496,84.30510468,4755.183935,975.562595,471.9036561,Titanium
Centrifugal Clutches,6.390628147,454.2832169,138.2266438,154.9538156,3077.036807,856.5893446,61.48704675,Stainless Steel
Fuel Pumps,4.309037868,1424.049569,2.272543179,172.9968483,832.8870473,802.4366911,129.1461815,High Carbon Steel
Worm Gears,7.005391801,358.4909012,39.75667334,91.86564268,2977.621369,498.1509793,503.115748,Stainless Steel
Rocker Arms,5.971338315,742.6128546,88.70193335,1.762181908,4073.94678,116.3001648,51.43612142,Titanium
Double Wishbone Linkages,3.547371062,1406.109202,49.69890614,148.2079289,4946.848046,474.4958283,599.8264977,Titanium
Drum Brakes,2.735346537,98.9149665,13.69847183,91.55480484,4028.641378,21.76979875,201.2845878,Titanium
Connecting Rods,1.943850675,551.1534119,36.1683972,14.57364356,1115.878482,291.1758294,571.6107947,Low Carbon Steel
Spark Plugs,1.518082833,909.1931078,177.4807107,21.12074408,4619.864276,309.3527442,534.4941626,Titanium
Peristaltic Pumps,3.879337937,1487.171732,186.5699586,157.9675167,3017.045788,596.8077518,724.6460758,High-speed Steel
Timing Chains,5.927373089,1313.654057,33.02508488,65.00460021,5024.276251,659.772297,75.01658497,Titanium
Double Wishbone Linkages,3.414708158,1260.176287,160.8073586,29.27776526,964.1475035,874.4462467,689.9400751,High Carbon Steel
Positive Displacement Pumps,4.756658753,1426.517917,176.4060784,146.9570205,2526.122118,948.4016286,317.1536613,High-speed Steel
Oil Pumps,5.121853732,242.8872292,67.59234794,153.5915389,4036.623239,588.5982649,774.9466381,Titanium
Helical Gears,2.702370176,840.331848,7.389656691,12.12073655,3446.954425,770.5854487,130.7229893,High-speed Steel
Crankshaft,7.817168624,572.3136063,41.31140461,62.83077528,5619.415404,143.7896876,651.5606439,Titanium
Rack and Pinion Gears,1.441773026,1189.339801,164.9057038,174.5589765,3544.672361,211.5445367,113.7040796,High-speed Steel
Piston,2.423299494,1060.47303,92.80551987,136.0238553,2261.033777,748.0625913,498.186898,High-strength Steel
Centrifugal Pumps,3.4920829,1276.408719,10.3145841,108.0098543,3496.974659,516.3724434,660.8485525,High-speed Steel
Hydraulic Brakes,7.129538193,402.9142039,147.3294958,100.0028977,3845.082304,20.76529959,107.5877129,Stainless Steel
Multi-plate Clutches,1.287121049,1482.495784,59.50922956,169.159527,4832.897849,319.013576,626.0336104,Titanium
Disc Clutches,2.302730167,1378.623457,180.0602217,90.53107391,3165.707165,340.8609338,684.5652797,High-speed Steel
Parking Brakes,1.980091307,39.96316349,73.57608989,130.0919461,1788.014218,528.1769125,144.1176579,Aluminum Alloy
Timing Gears,1.040230613,1308.396519,180.8363628,44.19073747,5670.132468,939.1489778,463.8251065,Carbon Fiber
Gear Wheels,1.566945271,1176.658124,55.38158708,12.72664543,4930.606452,409.3831051,622.0727202,Titanium
Valves,4.030998857,694.5839236,86.33697831,158.9197353,4168.978491,344.0822465,597.7540228,Titanium
Four Bar Linkages,7.222149965,1404.102473,179.6902506,98.79764996,2761.732117,227.2533617,729.9366404,High-speed Steel
Regenerative Brakes,1.318043394,736.6228862,54.41194911,67.33460029,5548.358591,269.9144385,136.8743489,Carbon Fiber
Disc Brakes,6.876228792,439.8070854,173.6378491,81.98880172,433.687827,931.9856464,76.12651585,Letnol
Helical Gears,5.970055937,517.8275787,22.28648021,114.7698004,1423.357212,455.468362,75.75174187,Aluminum Alloy
Cam,1.402804177,808.2759915,173.0991028,188.1719507,3312.659227,872.2870038,452.6829371,High-speed Steel
Positive Displacement Pumps,5.289720309,679.2720454,10.36879253,63.5991245,5879.227901,260.0831777,200.6670904,Carbon Fiber
O-rings,5.911607088,898.7703181,66.04687337,113.6141302,2514.538793,155.7868442,228.0672383,Stainless Steel
Engine Blocks,7.383919889,908.1241899,35.05489391,89.15428084,5166.835383,39.79197063,454.6387834,Titanium
Helical Gears,2.622688076,947.6344428,110.1768624,119.6824497,3395.7168,664.359511,391.9952106,High-speed Steel
Ball Bearing,4.006519566,1104.002811,46.68408116,133.8409366,1217.682489,834.1372586,75.82098803,High Carbon Steel
Sealing Washers,4.174536322,626.2982527,8.577139672,137.3066538,3739.224677,650.3245048,358.8390874,High-speed Steel
Fuel Pumps,4.943712596,53.19831211,207.1929535,154.8007144,2991.279683,392.123834,249.0721577,Stainless Steel
Rocker Arms,2.727871426,895.2000048,87.51356958,22.40858672,648.1630427,151.6015755,588.5854915,Letnol
Housing,1.494762081,800.4679608,113.7468287,33.22727365,938.1078386,473.4354892,677.9814005,Medium Carbon Steel
Centrifugal Pumps,1.462328816,1476.550878,194.8740218,168.3845276,4139.638286,105.5027936,777.272557,Titanium
Electromagnetic Clutches,5.031821178,456.3061542,170.2586052,9.470849344,937.1098388,111.9962255,446.5836404,Letnol
